,Unnamed: 0,Unnamed: 0.1,accident_latitude,accident_longitude,STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR,nearby_accidents,unsafe_accidents
20,20,20,40.74575278,-73.97810278,36,360444,3,2,1,0,1,3,4,61,4170,19,7,2017,4,2,7,1,2,3,4,6,3RD AVE,E 34TH ST,0,0,12,6,0,2,2,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,1,174.0,0.0
21,21,21,40.74831389,-74.00776667,36,360446,1,1,0,1,1,1,1,61,4170,17,7,2017,2,22,18,0,2,7,4,6,12TH AVE,W 22ND ST,0,0,8,0,0,2,7,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,72.0,1.0
22,22,22,40.78633056,-73.94558056,36,360447,1,1,0,1,1,1,1,61,4170,26,7,2017,4,16,50,1,2,3,4,6,2ND AVE,,0,0,8,0,0,1,1,0,1,1,1,0,1,0,0,16,50,16,50,88,88,0,0,0,1,0,19.0,0.0
23,23,23,40.79596111,-73.97675833,36,360452,2,2,0,0,0,6,6,61,4170,5,8,2017,7,19,32,1,2,3,1,3,SR-907V HENRY HUDSON PKWY,,0,0,12,7,0,1,1,0,1,5,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,20.0,0.0
24,24,24,40.74540833,-73.99472778,36,360457,1,1,0,1,1,1,1,61,4170,8,8,2017,3,4,57,0,2,7,4,6,W 25TH ST,7TH AVE,0,0,8,0,0,2,2,0,1,3,10,0,10,0,0,4,57,99,99,99,99,0,0,0,1,0,122.0,0.0
25,25,25,40.81287778,-73.93794167,36,360491,1,1,0,1,1,1,1,61,4170,16,8,2017,4,14,16,0,2,3,4,6,E 135TH ST,5TH ST,0,0,8,0,0,3,2,0,1,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,62.0,0.0
26,26,26,40.71833333,-74.00538333,36,360509,1,1,0,1,1,1,1,61,4170,16,8,2017,4,12,32,0,2,3,4,6,CHURCH ST,FRANKLIN ST,0,0,8,0,0,2,2,0,1,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,96.0,1.0
27,27,27,40.76828611,-73.96376667,36,360577,2,2,0,0,0,4,4,61,4170,13,9,2017,4,5,10,0,2,3,4,6,LEXINGTON AVE,,0,0,5,0,0,1,1,0,1,4,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,65.0,0.0
28,28,28,40.71858611,-74.00254167,36,360578,1,1,0,1,1,1,1,61,4170,14,9,2017,5,17,45,0,2,7,4,6,BROADWAY,WALKER ST,0,0,9,0,0,2,2,0,1,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,227.0,4.0
29,29,29,40.7805,-73.94392222,36,360613,1,1,0,1,1,1,1,61,4170,27,9,2017,4,21,27,1,2,3,1,3,SR-907L FDR DR,,0,0,8,0,0,1,1,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,12.0,0.0
30,30,30,40.81723611,-73.93846111,36,360616,1,1,0,1,1,4,4,61,4170,30,9,2017,7,14,36,0,2,7,4,6,LENOX AVE,W 140TH ST,0,0,8,0,0,2,3,0,1,1,1,0,1,0,0,99,99,99,99,15,2,0,0,0,1,0,73.0,1.0
31,31,31,40.85310833,-73.92725278,36,360647,3,2,1,0,0,4,4,61,4170,22,9,2017,6,23,34,1,2,3,4,6,AMSTERDAM AVE,W 189TH ST,0,0,12,6,0,2,2,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,1,29.0,1.0
32,32,32,40.86288056,-73.915175,36,360686,2,2,0,0,0,3,3,61,4170,21,10,2017,7,1,8,0,2,7,4,6,W 207TH ST,9TH AVE,0,0,12,2,0,1,1,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,1,38.0,0.0
33,33,33,40.77867222,-73.98156944,36,360760,1,1,0,1,1,2,2,61,4170,10,10,2017,3,22,16,0,2,7,4,6,AMSTERDAM AVE,W 72ND ST,0,0,9,0,0,3,2,0,1,3,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,107.0,0.0
34,34,34,40.73485556,-73.99064722,36,360794,1,1,0,1,1,1,1,61,4170,14,11,2017,3,0,50,0,2,7,4,6,E 14TH ST,UNION SQUARE E,0,0,8,0,0,3,2,0,1,3,10,0,10,0,0,99,99,99,99,99,99,0,0,0,1,0,94.0,0.0
35,35,35,40.75328611,-74.00383056,36,360822,1,1,0,1,1,1,1,61,4170,28,11,2017,3,13,49,0,2,4,4,6,11TH AVE,W 30TH ST,0,0,9,0,0,2,2,0,1,1,1,0,1,0,0,99,99,99,99,99,99,0,0,0,1,0,31.0,1.0
36,36,36,40.71621944,-73.99602222,36,360846,1,1,0,0,0,2,2,61,4170,26,12,2017,3,1,8,1,2,3,4,6,CANAL ST,BOWERY ST,0,0,40,0,0,3,2,0,4,3,1,0,1,0,0,1,8,1,20,2,0,0,0,0,1,1,207.0,6.0
37,37,37,40.78217222,-73.95994444,36,360856,1,1,0,1,1,1,1,61,4170,23,12,2017,7,9,33,0,2,7,4,6,5TH AVE,E 87TH ST,0,0,8,0,0,3,3,0,1,1,2,0,2,0,0,99,99,99,99,99,99,0,0,0,1,0,41.0,1.0
